Column1,Year,Rainfall,WPI,Column12,Column13,Column14
4,2012,47.5,131,4,201247.5,4131
5,2012,31.7,139.6,4,201231.7,5139.6
6,2012,117.8,144.8,4,2012117.8,6144.8
7,2012,250.2,182.7,4,2012250.2,7182.7
8,2012,262.4,183.8,4,2012262.4,8183.8
9,2012,193.5,166.2,4,2012193.5,9166.2
10,2012,58.7,134.2,4,201258.7,10134.2
11,2012,30.7,140.1,4,201230.7,11140.1
12,2012,11.7,142.6,4,201211.7,12142.6
1,2013,11.3,139,4,201311.3,1139
2,2013,40.1,137.7,4,201340.1,2137.7
3,2013,15.7,150.9,4,201315.7,3150.9
4,2013,30.4,163,4,201330.4,4163
5,2013,57.8,164.4,4,201357.8,5164.4
7,2013,310,153.5,4,2013310,7153.5
8,2013,254.7,148,4,2013254.7,8148
9,2013,152.7,148.1,4,2013152.7,9148.1
10,2013,129.4,147,4,2013129.4,10147
11,2013,14,160.3,4,201314,11160.3
12,2013,6.7,160.1,4,20136.7,12160.1
1,2014,19.2,157.8,4,201419.2,1157.8
2,2014,27.4,162,4,201427.4,2162
3,2014,36.1,169.5,4,201436.1,3169.5
4,2014,22.2,175.6,4,201422.2,4175.6
5,2014,72.9,188.5,4,201472.9,5188.5
6,2014,95.4,175.5,4,201495.4,6175.5
7,2014,261.2,175.9,4,2014261.2,7175.9
8,2014,237.5,162.4,4,2014237.5,8162.4
9,2014,188,141.8,4,2014188,9141.8
10,2014,60.2,131.6,4,201460.2,10131.6
11,2014,14.4,135,4,201414.4,11135
12,2014,10.7,140.8,4,201410.7,12140.8
1,2015,17.4,144.6,4,201517.4,1144.6
2,2015,21,142.2,4,201521,2142.2
3,2015,62,141.3,4,201562,3141.3
4,2015,69.4,145.5,4,201569.4,4145.5
5,2015,53.8,166.2,4,201553.8,5166.2
6,2015,192.8,155.6,4,2015192.8,6155.6
7,2015,242.4,147.1,4,2015242.4,7147.1
8,2015,205.2,139.2,4,2015205.2,8139.2
9,2015,131.8,139.2,4,2015131.8,9139.2
10,2015,42.9,156.9,4,201542.9,10156.9
11,2015,39.4,158.3,4,201539.4,11158.3
12,2015,15,152.2,4,201515,12152.2
1,2016,19.3,151.3,4,201619.3,1151.3
2,2016,22.8,150.2,4,201622.8,2150.2
3,2016,27.6,151.4,4,201627.6,3151.4
4,2016,37.4,167.5,4,201637.4,4167.5
5,2016,62.6,162.4,4,201662.6,5162.4
6,2016,168.3,165.1,4,2016168.3,6165.1
7,2016,289.1,158.7,4,2016289.1,7158.7
8,2016,256.3,156.3,4,2016256.3,8156.3
9,2016,171.9,149.3,4,2016171.9,9149.3
10,2016,76.1,132.3,4,201676.1,10132.3
11,2016,29.7,126.2,4,201629.7,11126.2
12,2016,14.9,128.9,4,201614.9,12128.9
1,2017,19,127.8,4,201719,1127.8
2,2017,22.6,126,4,201722.6,2126
3,2017,27.8,124.9,4,201727.8,3124.9
4,2017,37.9,126.8,4,201737.9,4126.8
5,2017,62.4,123.4,4,201762.4,5123.4
6,2017,168.1,121.2,4,2017168.1,6121.2
7,2017,289.3,121.6,4,2017289.3,7121.6
8,2017,256.2,122.8,4,2017256.2,8122.8
9,2017,171.5,124.8,4,2017171.5,9124.8
10,2017,76.3,126,4,201776.3,10126
11,2017,29.9,122.2,4,201729.9,11122.2
12,2017,15,125.3,4,201715,12125.3
1,2018,19.2,136.6,4,201819.2,1136.6
2,2018,20.1,152.2,4,201820.1,2152.2
3,2018,27.1,156,4,201827.1,3156
4,2018,40.2,157.5,4,201840.2,4157.5
5,2018,62.7,155.9,4,201862.7,5155.9
6,2018,165,153.1,4,2018165,6153.1
7,2018,286.3,150.1,4,2018286.3,7150.1
8,2018,254.3,147.1,4,2018254.3,8147.1
9,2018,171.9,142.9,4,2018171.9,9142.9
10,2018,77.2,140.2,4,201877.2,10140.2
11,2018,28.1,141.6,4,201828.1,11141.6
12,2018,14.1,143.9,4,201814.1,12143.9
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
